label,from_address,sent_tx_count,total_tokens_sent,token_symbol
,0x3b685307c8611afb2a9e83ebc8743dc20480716e,2,5.359284208240547,WETH
,0xefd784093ddd12e24231fa6b792c09d03a4f7b7e,6,5.35501732,WBTC
,0x1b9669b12959ad51b01fabcf01eabdfadb82f578,1,5.0878791513802595,WETH
,0x3dd5e9681b3e6266b4bf1d7d823759c48835fdcf,1,4.576215781255524,WETH
,0xa88800cd213da5ae406ce248380802bd53b47647,1,4.533726523600791,WETH
,0xcd423f3ab39a11ff1d9208b7d37df56e902c932b,3,4.485010212845988,WETH
,0x2a0330c7e979a4d18e5b0c987b877da24dd37d04,4,4.483835164265869,WETH
,0x24ee2c6b9597f035088cda8575e9d5e15a84b9df,8,4.467035088089443,WETH
,0xb38cc8c5f6eebc03a38515e2aad580e0b80d67ea,1,4.408885936134901,WETH
,0x98409d8ca9629fbe01ab1b914ebf304175e384c8,3,4.370924441375996,WETH
,0x44c95bf226a6a1385beaced2bb3328d6afb044a3,7,4.307097011668012,WETH
,0x5ee0fd77ae789b62c25586847f8ef8050ebb35ee,11,4.290479755962625,WETH
,0xc3f6b81fb9e6db259272026601689e383f94c0b0,10,4.095,WETH
,0xbfcae9f989e47436fd1678ef5f9182d94b81dbac,10,4.0750534138116725,WETH
,0x09117bff68b5939319e61b226bf1f3f5f985eba1,4,3.8756189938068557,WETH
,0x5aaa28ca43c6646fd1403e508f0fca1d92357dde,4,3.856224481333639,WETH
,0x58fcd403610e772d68726b55183eb958a7581731,12,3.8484321326617352,WETH
,0x1111111254eeb25477b68fb85ed929f73a960582,1,3.738993026255509,WETH
,0xe4e86c6805884736c0faea1e559c51f37da15812,6,3.7041731658124286,WETH
,0x77924185cf0cbb2ae0b746a0086a065d6875b0a5,7,3.663753125501996,WETH
,0x9f41a3ac0c16a9feb5400751a34c609211839cfa,2,3.6243425277543815,WETH
,0xcb488b8452996454237d824d72f86090470292f4,1,3.539667228446491,WETH
,0x198063c23ac1317ff3cc57d9f54faac6b675d89f,7,3.4248847422552386,WETH
,0xfeb09c7e130a4b87b27ebd648ec485657b688b34,1,3.3437044927414132,WETH
,0x8e40fc101cc88b94744f1716a0a46e64929ef757,4,3.328633412902901,WETH
,0x415989f78b26d801fd4cb5c958dcf122de106a55,2,2.9222973004474766,WETH
,0x6c063a6e8cd45869b5eb75291e65a3de298f3aa8,5,2.879876708487504,WETH
,0xa06591252908576a0f64a8560ec0c8051782377c,2,2.87427663804212,WETH
,0xeb5c52e8af57334fab0b5f3d888990c108545527,2,2.835920058252216,WETH
,0xea4ba4ce14fdd287f380b55419b1c5b6c3f22ab6,3,2.8045242611860455,WETH
,0x553e9c493678d8606d6a5ba284643db2110df823,2,2.8016821977768593,WETH
