tx_hash,sender,receiver,value_eth,gas_used,is_error,tx_type,timestamp
0x2a01961872dc2b5c7ebab347777fced3387f3bb738d6b9927d33f6b0abad1316,0x04c17bc9c98c9cdeddfee8204a0153fe65997db7,0xe592427a0aece92de3edee1f18e0157c05861564,0.0,29873,True,Failed transaction,2024-01-04 00:45:47
0x1b5374879e4e3348441fcc9900647625aec4f09ae8a547b00ee86c319a240d00,0xec67e10a5991ab7ae9ea3d47a1f3725009abb92c,0xe592427a0aece92de3edee1f18e0157c05861564,0.0,137824,True,Failed transaction,2024-01-04 00:34:35
0x84f346115234feca20fbbd7d9e1cf24a48aabbac9ef5e68ca6b0e2a4964f064f,0x04c17bc9c98c9cdeddfee8204a0153fe65997db7,0xe592427a0aece92de3edee1f18e0157c05861564,0.0,29873,True,Failed transaction,2024-01-04 00:26:59
0xdb283e1e3746d786c2a7a851ff9245d3ae3a40815efe3f14061356f1e63d4b67,0x2381723118870257c5ea6183281724930247afea,0x1111111254eeb25477b68fb85ed929f73a960582,0.0,194645,True,Failed transaction,2024-01-03 23:44:35
0x4d7e7d19596f036ae18976a6a606a9a6e69b08af435a0b648428bd8011052cfc,0xc692a81a893fcf3e8021580fb3d9a7199733b2d4,0xe592427a0aece92de3edee1f18e0157c05861564,0.028360571905300024,133656,True,Failed transaction,2024-01-03 23:28:23
0x6b5689d26624ba83625ff6eeabafab3308d95a1205718e060ecad96b5b9ff6a1,0xf6b1e45588a7a714f9f25e882ba6c651ba4f44bb,0xe592427a0aece92de3edee1f18e0157c05861564,0.26163372651735883,129792,True,Failed transaction,2024-01-03 22:51:47
0x4734aa97cae05f1db05f9a71228eb988679b3cf6054ba5cc9ef4ef843a1d0fcf,0xec67e10a5991ab7ae9ea3d47a1f3725009abb92c,0xe592427a0aece92de3edee1f18e0157c05861564,0.0,115903,True,Failed transaction,2024-01-03 22:35:11
0xbbf882bb5d729439dfb3a15cb2ef7beb4d3d12d216f1c3bc788a3272e7b085e0,0xa848219766f8653d5f2faaab47030e44faff339e,0xe592427a0aece92de3edee1f18e0157c05861564,0.25,26499,True,Failed transaction,2024-01-03 21:59:11
0x3273e5c36babf165a283bcb67268654727beb629bff993b88e0cc531f445f01c,0x278f498e5d95bcefcb3f99679d0e58e08622dde4,0xe592427a0aece92de3edee1f18e0157c05861564,0.0,236260,True,Failed transaction,2024-01-03 21:53:23
0x91519e0ee5f7aca71e64936a0d773ab0c5bbefc21c9a10c2b589f16fbf17414c,0x2381723118870257c5ea6183281724930247afea,0x1111111254eeb25477b68fb85ed929f73a960582,0.0,653826,True,Failed transaction,2024-01-03 21:51:11
0xe25f93cd9c0997bed2941d735a12dddfb7aab9a67b27b0096f60d8441b2cec0a,0x0219957fafc72f937c6366855d0b7562cf5131bf,0xe592427a0aece92de3edee1f18e0157c05861564,0.0,218518,True,Failed transaction,2024-01-03 21:13:59
0x12a657168cb3178b66876da9e5a82a1c76fafe307dfd4854b223e7d4c16e858e,0xf3fe7c7c3fdeb1867172ef3b2e216fdad3aa3d9c,0xe592427a0aece92de3edee1f18e0157c05861564,0.04631110732642231,131236,True,Failed transaction,2024-01-03 20:23:47
0xc928bec860855644954aba185fde1251c93b3e1995c9647d0414e2d0b6dad805,0x6122ecfc9bd3a8c3ccb6bd56cb91728776794cac,0xe592427a0aece92de3edee1f18e0157c05861564,0.0,230655,True,Failed transaction,2024-01-03 20:02:11
0x2e459460eb578c7ba6299aba8b8c9d357249138185e06935f816723ea0cadf03,0x83216e82a4a0ae8c380433f1d0c452f34e513002,0xe592427a0aece92de3edee1f18e0157c05861564,0.0005,23527,True,Failed transaction,2024-01-03 19:39:59
0x5d60f4058683f15f63a15c47d0432dbf9e64be376dbeb42065c40eb0dd1e431b,0x3a4d3430da786fa5b912ff8d468998ab95c3a6f2,0xe592427a0aece92de3edee1f18e0157c05861564,2.0,142131,True,Failed transaction,2024-01-03 19:24:47
0x1eec4799f135ebfdb2ab0de12c8cb5530b5ad8b5263c5535280435b0a4c415bd,0x2381723118870257c5ea6183281724930247afea,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0.0,49717,True,Failed transaction,2024-01-03 19:24:11
0x37bb2a2f31b22ca1190467307080d19a74dd99dc3859aae76d489eec317120a0,0x2381723118870257c5ea6183281724930247afea,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0.0,49717,True,Failed transaction,2024-01-03 19:21:59
0xffb30af74995a54dee4bac8baf4570a37c574fda7fe47dac233e0bc7d5a06376,0x2381723118870257c5ea6183281724930247afea,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0.0,49717,True,Failed transaction,2024-01-03 19:13:35
0x1b4b26a0d8937e0bdcd95faada660477aefc5f1fa6440d7ca68fbde0eca75b4b,0x3a4d3430da786fa5b912ff8d468998ab95c3a6f2,0xe592427a0aece92de3edee1f18e0157c05861564,2.0,145993,True,Failed transaction,2024-01-03 19:10:11
0x1c1411d4747553f0c32f8c3ac105bd9ef39916fae3233b935e3e1adfe883c2d4,0x2381723118870257c5ea6183281724930247afea,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0.0,49717,True,Failed transaction,2024-01-03 19:08:11
0x8895ad10d320b935e78ef8598024313794e1caa0faf4099942dcfd89379eff05,0x6122ecfc9bd3a8c3ccb6bd56cb91728776794cac,0xe592427a0aece92de3edee1f18e0157c05861564,0.0,201105,True,Failed transaction,2024-01-03 19:06:35
0xcebc62f07c067d3b51982d15123afd2979f9cbe4796c0e3442b76e9e15afd458,0x2381723118870257c5ea6183281724930247afea,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0.0,49717,True,Failed transaction,2024-01-03 18:58:59
